# ICM42688 vertical acceleration GUI log
# vertical_accel_mps2=(accel_z_g-1.0)*9.80665
# start_unix=1778752813
host_time_iso,elapsed_s,imu_time_us,imu_sample,imu_temp_c,accel_x_g,accel_y_g,accel_z_g,vertical_accel_g,vertical_accel_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_failed_reads
2026-05-14T18:00:15.350,2.110,22647942,1045,25.574,0.00000,-0.11035,-0.96924,-1.969240,-19.311647,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.410,2.169,22674203,1046,25.559,-0.00049,-0.11133,-0.97070,-1.970700,-19.325965,-0.122,0.183,-0.122,1
2026-05-14T18:00:15.411,2.170,22694211,1047,25.559,0.00000,-0.10938,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.417,2.176,22709931,1048,25.543,-0.00098,-0.11035,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.438,2.197,22735209,1049,25.574,-0.00049,-0.10938,-0.97217,-1.972170,-19.340381,-0.122,0.183,-0.183,1
2026-05-14T18:00:15.462,2.221,22755210,1050,25.543,0.00098,-0.10938,-0.96973,-1.969730,-19.316453,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.475,2.234,22770944,1051,25.528,0.00049,-0.11084,-0.97021,-1.970210,-19.321160,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.500,2.259,22796220,1052,25.574,0.00049,-0.11133,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.525,2.284,22816209,1053,25.589,-0.00049,-0.11084,-0.96924,-1.969240,-19.311647,-0.122,0.183,-0.183,1
2026-05-14T18:00:15.538,2.297,22831948,1054,25.559,-0.00098,-0.11084,-0.97119,-1.971190,-19.330770,-0.122,0.122,-0.122,1
2026-05-14T18:00:15.562,2.322,22857212,1055,25.543,0.00098,-0.11035,-0.97070,-1.970700,-19.325965,-0.122,0.183,-0.122,1
2026-05-14T18:00:15.586,2.345,22877212,1056,25.574,0.00000,-0.11182,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.122,1
2026-05-14T18:00:15.599,2.358,22892937,1057,25.559,-0.00049,-0.11133,-0.97070,-1.970700,-19.325965,-0.122,0.183,-0.183,1
2026-05-14T18:00:15.624,2.383,22918209,1058,25.543,-0.00098,-0.10986,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.183,1
2026-05-14T18:00:15.649,2.408,22938212,1059,25.559,0.00000,-0.11035,-0.97168,-1.971680,-19.335576,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.660,2.419,22953938,1060,25.589,0.00049,-0.11084,-0.97266,-1.972660,-19.345186,-0.122,0.183,-0.122,1
2026-05-14T18:00:15.685,2.444,22979209,1061,25.543,-0.00049,-0.11084,-0.97070,-1.970700,-19.325965,-0.122,0.183,-0.183,1
2026-05-14T18:00:15.710,2.469,22999210,1062,25.543,0.00000,-0.11084,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.122,1
